"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-08-31",,"75","58"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-01",,"72","58"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-02",,"75","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-03",,"72","48"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-04",,"77","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-05",,"83","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-06",,"77","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-07",,"79","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-08",,"72","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-09",,"73","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-10",,"79","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-11",,"68","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-12",,"72","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-13",,"74","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-14",,"76","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-15",,"75","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-16",,"72","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-09-17",,"69","55"
